"Demiéville, Paul",MALE
"DeMoss, David",MALE
"Dempsey, Shaun",MALE
"Deslippe, Philip",MALE
"Dessein, Bart",MALE
"Dessì, Ugo",MALE
"Dessì, Ugo (Translator)",MALE
Devasia M A,MALE
"Dhammaratana, Tampalawela Bhikkhu",MALE
"Dhammaratana, Tampalawela Bhikkhu (Translator, Editor)",MALE
"Dhammasami, Khammai",MALE
"Dibeltulo Concu, Martino",MALE
"Dien, Albert E",MALE
"DiSimone, Charles",MALE
"Dixon, Graham",MALE
"Dobbins, James C",MALE
"Doctor, Thomas H",MALE
"Doney, Lewis",MALE
"Dong, Qun",MALE
"Dorfman, Michael",MALE
"Dorman, Benjamin",MALE
"Dorman, Benjamin (Translator)",MALE
"Dotson, Brandon",MALE
"Dotson, Brandon",MALE
"Dotson, Brandon",MALE
"Drewes, David",MALE
"Dreyfus, Georges",MALE
"Dreyfus, Georges",MALE
"Drott, Edward Robertson",MALE
"Drummond, Michael S",MALE
"Duckworth, D.",MALE
"Duckworth, Douglas S",MALE
"Duckworth, Douglas S.",MALE
"Ducor, Jérôme",MALE
"Dundas, Paul",MALE
"Dunne, John D",MALE
"Durt, Hubert",MALE
"Dy, Ari C",MALE
"Eckel, Malcom David",MALE
"Edwards, Colin",MALE
"Elphinstone, Bradley",MALE
"Eltschinger, Vincent",MALE
"Elverskog, Johan",MALE
"Elverskog, Johan",MALE
"Elverskog, Johan",MALE
"Enomoto, Fumio",MALE
"Eskildsen, Stephen",MALE
"Esler, Dylan",MALE
"Euron, Paolo",MALE
"Evans, Stephen (Stephen A)",MALE
"Evans, Stephen A",MALE
"Fallick, Eric",MALE
"Fan, Wenli",MALE
"Faure, Bernard",MALE
"Federman, Asaf",MALE
"Feichtinger, Christian",MALE
"Fenner, Peter G",MALE
"Ferrante, Marco",MALE
"Ferraro, Giuseppe",MALE
"Fink, Charles Kedric",MALE
"Fiordalis, David V",MALE
"Fischer, Andrew M.",MALE
"Fitzgerald, James",MALE
"Fitzgerald, James L",MALE
"Flanagan, Owen J",MALE
"Fleischman, Paul R",MALE
"Ford, James L",MALE
"Formigatti, Camillo Alessio",MALE
"Foxeus, Niklas",MALE
"Franco, Eli",MALE
"Frank, Bernard",MALE
"Frasch, Tilman",MALE
"Fredericks, James L",MALE
"Freiberger, Oliver",MALE
"Fujii, Masao",MALE
"Fujimoto, Masafumi",MALE
"Fujita, Masakatsu",MALE
"Fukuda, Takumi",MALE
"Fuller, Paul",MALE
"Funayama, Toru",MALE
"Fussman, Gérard",MALE
"Galloway, Brian",MALE
"Gandolfo, Stefano",MALE
"Ganeri, Jonardon",MALE
"Gard, R A",MALE
"Gardiner, David L",MALE
"Garfield, Jay L",MALE
"Garfield, Jay L.",MALE
"Gelblum, Tuvia",MALE
"Gellner, David N",MALE
"Gerloff, Torsten",MALE
"Germano, David",MALE
"Germano, David",MALE
"Germano, David",MALE
"Gethin, Rupert",MALE
"Ghose, Lynken",MALE
"Gibbs, Gregory G",MALE
"Gillon, Brendan S",MALE
"Gillon, Brendan S.",MALE
"Gilpin, Richard",MALE
"Giustarini, Giuliano",MALE
"Glass, Andrew",MALE
"Goble, Andrew",MALE
"Godart, Gerard Clinton",MALE
"Gokhale, Balkrishna Govind",MALE
"Gold, Jonathan C",MALE
"Goldberg, Kory",MALE
"Gombrich, Richard",MALE
"Gombrich, Richard F",MALE
"Gómez, Luis Oscar",MALE
"Gómez, Luis O (Luis Oscar)",MALE
"Gonçalves, Ricardo Mário",MALE
"Goodman, Charles",MALE
"Goodman, Charles A",MALE
"Gornall, Alastair",MALE
"Gornall, Alastair‰ŰŹ",MALE
"Grace, Stefan",MALE
"Grandy, David",MALE
"Gravers, Mikael",MALE
Gray Tuttle,MALE
"Gray, David B",MALE
"Gray, David B",MALE
"Gray, David B.",MALE
"Green, Phillip Scott Ellis‏",MALE
"Green, Phillip Scott Ellis",MALE
"Green, Ronald S",MALE
"Greene, Eric M",MALE
"Greene, Eric M",MALE
"Gregory, Peter N",MALE
"Griffiths, Arlo",MALE
"Griffiths, Paul J",MALE
"Grimes, Samuel",MALE
"Groner, Paul",MALE
"Groner, Paul, 1946- (Translator)",MALE
"Grosnick, William",MALE
"Grosnick, William H",MALE
"Grossman, Paul",MALE
"Gruber, Joel Stephen",MALE
"Gruber, Joel S (Joel Stephen)",MALE
"Gruschke, Andreas",MALE
"Guenther, Herbert V",MALE
"Gülberg, Niels",MALE
"Gunasena, Amal",MALE
"Gupta, Anurag",MALE
"Gyatso, Yönten",MALE
"Haar, Barend J ter",MALE
"Habito, Ruben L F",MALE
"Hackett, Paul G",MALE
"Hackstein, Olav",MALE
"Hahn, Oliver",MALE
"Hajime, Sakurabe",MALE
"Hakamaya, Noriaki",MALE
"Halkias, Georgios",MALE
"Hall, Bruce Cameron",MALE
"Ham, Hyoung Seok",MALE
"Hamlin, Edward",MALE
"Hansen, Wilburn",MALE
"Hansen, Wilburn",MALE
"Hara, Minoru",MALE
"Harding, John S",MALE
"Hargiss, Dennis G",MALE
"Harris, Ian Charles",MALE
"Harris, Stephen",MALE
"Harris, Stephen E",MALE
"Harrison, Paul Maxwell",MALE
"Harrison, Paul",MALE
"Harrison, Paul M. (Paul Maxwell)",MALE
"Hartman, David",MALE
"Hartman, Earl",MALE
"Hartman, Earl (Translator)",MALE
"Hartmann, Jens-Uwe",MALE
"Harvey, Peter",MALE
"Harvey, Peter Peter",MALE
"Harvey, Peter (Brian Peter)",MALE
"Hase, Shōtō",MALE
"Hashimoto, Mineo",MALE
"Hayashi, Itsuki",MALE
"Hayashi, Keijin",MALE
"Hayek, Matthias",MALE
"Hayes, Richard P",MALE
"Hayes, Richard P.",MALE
"Heine, Steven",MALE
"Heisig, James W",MALE
"Helderman, Ira",MALE
"Hevia, James Louis",MALE
"Higgins, David (Lecturer in religious studies)",MALE
"Higgins, David (Lecturer in religious studies) (""Author of introduction, etc. "", Translator)",MALE
"Higgins, David O",MALE
"Hikino, Kyōsuke",MALE
"Hiltebeitel, Alf",MALE
"Hinsch, Bret",MALE
"Hinüber, Oskar von",MALE
"Hirota, Dennis",MALE
"Hirotoshi, Ogihara",MALE
"Hishiki, Masaharu",MALE
"Ho, Chien-hsing",MALE
"Hoffman, Frank J",MALE
"Holba, Jir̆í",MALE
"Holba, Jir̆í (Compiler)",MALE
"Holder, John Joseph",MALE
"Holder, John J. (John Joseph)",MALE
"Holmberg, David",MALE
"Holt, John C",MALE
"Honjō, Yoshifuma",MALE
"Hooker, Floyd B",MALE
"Hopkins, Jeffrey",MALE
"Hori, Shin'ichirō",MALE
"Hori, Victor Sōgen",MALE
"Horsch, Paul",MALE
"Hu, Yao",MALE
"Hu, Zhiqiang",MALE
"Hubbard, Jamie",MALE
"Huber, Toni",MALE
"Huber, Toni",MALE
